IDucznia;Ocena;Data;IDprzedmiotu
9;4;2008-09-05;3
16;3;2008-09-05;2
43;2;2008-09-05;8
61;4;2008-09-05;6
62;4;2008-09-05;9
84;3;2008-09-05;4
187;4;2008-09-05;9
195;1;2008-09-05;11
196;4;2008-09-05;5
210;5;2008-09-05;10
248;3;2008-09-05;6
250;3;2008-09-05;7
260;4;2008-09-05;10
263;3;2008-09-05;3
293;4;2008-09-05;3
297;3;2008-09-05;2
309;2;2008-09-05;8
317;4;2008-09-05;11
318;4;2008-09-05;9
326;3;2008-09-05;4
370;4;2008-09-05;9
373;1;2008-09-05;9
374;4;2008-09-05;5
380;5;2008-09-05;10
396;3;2008-09-05;6
397;3;2008-09-05;7
401;4;2008-09-05;10
403;3;2008-09-05;3
9;3;2008-09-06;3
28;4;2008-09-06;3
31;5;2008-09-06;8
34;2;2008-09-06;4
60;2;2008-09-06;6
68;2;2008-09-06;8
92;3;2008-09-06;9
108;4;2008-09-06;1
111;3;2008-09-06;1
137;4;2008-09-06;8
144;3;2008-09-06;11
149;2;2008-09-06;3
150;2;2008-09-06;4
151;5;2008-09-06;6
154;2;2008-09-06;10
157;4;2008-09-06;9
158;4;2008-09-06;8
162;4;2008-09-06;4
165;1;2008-09-06;2
168;5;2008-09-06;4
169;5;2008-09-06;4
171;3;2008-09-06;4
179;1;2008-09-06;2
189;3;2008-09-06;1
192;4;2008-09-06;1
201;2;2008-09-06;2
205;5;2008-09-06;2
212;2;2008-09-06;6
215;2;2008-09-06;6
245;2;2008-09-06;7
245;2;2008-09-06;3
270;3;2008-09-06;3
293;3;2008-09-06;3
302;4;2008-09-06;11
303;5;2008-09-06;8
304;2;2008-09-06;4
317;2;2008-09-06;6
320;2;2008-09-06;8
330;3;2008-09-06;9
337;4;2008-09-06;1
338;3;2008-09-06;1
348;4;2008-09-06;8
351;3;2008-09-06;9
353;2;2008-09-06;3
354;2;2008-09-06;4
354;5;2008-09-06;6
355;2;2008-09-06;10
356;4;2008-09-06;9
357;4;2008-09-06;8
359;4;2008-09-06;4
360;1;2008-09-06;2
362;5;2008-09-06;4
362;5;2008-09-06;4
363;3;2008-09-06;4
367;1;2008-09-06;2
371;3;2008-09-06;1
372;4;2008-09-06;1
376;2;2008-09-06;2
377;5;2008-09-06;2
381;2;2008-09-06;6
382;2;2008-09-06;6
395;2;2008-09-06;7
395;2;2008-09-06;3
