id_mieszkania ulica numer_klatki numer_mieszkania metraz
1/2009 Bacciarellego 1 3 64
2/2009 Bacciarellego 1 5 34
3/2009 Bacciarellego 1 6 89
4/2009 Bacciarellego 2 1 98
5/2009 Bacciarellego 2 3 76
6/2009 Bacciarellego 2 5 54
7/2009 Bacciarellego 3 6 75
8/2009 Bacciarellego 4 2 28
9/2009 Bacciarellego 4 3 29
10/2009 Bacciarellego 5 2 75
11/2009 Bacciarellego 5 4 75
12/2009 Bacciarellego 5 6 89
13/2009 Bacciarellego 5 8 64
14/2009 Bacciarellego 7 2 54
15/2009 Bacciarellego 7 5 76
16/2009 Bacciarellego 8 2 98
17/2009 Bacciarellego 8 3 76
18/2009 Cieszkowskiego 32 1 54
19/2009 Cieszkowskiego 32 2 32
20/2009 Cieszkowskiego 32 5 43
21/2009 Cieszkowskiego 34 4 49
22/2009 Cieszkowskiego 34 9 60
23/2009 Cieszkowskiego 34 10 58
24/2009 Cieszkowskiego 34 12 46
25/2009 Cieszkowskiego 36 2 76
26/2009 Cieszkowskiego 36 7 77
27/2009 Cieszkowskiego 34 6 61
28/2009 Gorny 12 3 59
29/2009 Gorny 12 4 48
30/2009 Gorny 12 5 56
31/2009 Gorny 12 7 45
32/2009 Gorny 14 1 29
33/2009 Gorny 14 3 34
34/2009 Gorny 14 4 56
35/2009 Gorny 14 5 38
36/2009 Gorny 16 3 98
37/2009 Gorny 16 5 78
38/2009 Gorny 16 6 76
39/2009 Grabskiego 3 2 45
40/2009 Grabskiego 3 3 54
41/2009 Grabskiego 3 4 29
42/2009 Grabskiego 3 5 65
43/2009 J.Bronka 1 2 68,5
44/2009 J.Bronka 1 3 54
45/2009 J.Bronka 1 4 64,5
46/2009 J.Bronka 1 6 29,5
47/2009 J.Bronka 3 1 48
48/2009 J.Bronka 3 2 56
49/2009 J.Bronka 3 5 54
50/2009 J.Bronka 3 6 78
51/2009 J.Bronka 5 1 98
52/2009 J.Bronka 5 3 65
53/2009 J.Bronka 5 4 45
54/2009 J.Bronka 5 5 48
55/2009 J.Bronka 5 6 49
56/2009 Kamienskiego 3 2 65
57/2009 Kamienskiego 3 4 54
58/2009 Kamienskiego 3 5 32
59/2009 Kamienskiego 3 6 38
60/2009 Kocha 4 1 59
61/2009 Kocha 4 4 57
62/2009 Kocha 4 5 61
63/2009 Kocha 4 6 64
64/2009 Kopernika 3 1 89
65/2009 Kopernika 3 3 58
66/2009 Kopernika 3 4 78
67/2009 Kopernika 3 6 76
68/2009 Kosciuszki 5 1 54
69/2009 Kosciuszki 5 2 28
70/2009 Kosciuszki 5 4 35
71/2009 Kosciuszki 5 5 48
72/2009 Kosciuszki 5 6 40
73/2009 Kosciuszki 5 7 54,5
74/2009 Kosciuszki 7 2 87
75/2009 Kosciuszki 7 3 55
76/2009 Kosciuszki 7 5 68
77/2009 Kosciuszki 7 6 59
78/2009 Kosciuszki 9 3 38
79/2009 Kosciuszki 9 4 42
80/2009 Kosciuszki 9 7 45
81/2009 Kosciuszki 9 8 52
82/2009 Kosciuszki 11 1 59
83/2009 Kosciuszki 11 2 56
84/2009 Kosciuszki 11 3 36
85/2009 Kosciuszki 11 5 59
86/2009 Kosciuszki 11 6 58
87/2009 Kosciuszki 13 2 74
88/2009 Kosciuszki 13 3 51
89/2009 Kosciuszki 13 4 45
90/2009 Kosciuszki 13 7 54
91/2009 Kosciuszki 13 8 65
92/2009 Kosciuszki 15 2 98
93/2009 Kosciuszki 15 4 162
94/2009 Kosciuszki 15 6 75
95/2009 Piaskowa 1 2 65
96/2009 Piaskowa 1 4 42
97/2009 Piaskowa 1 5 48
98/2009 Piaskowa 2 1 52
99/2009 Piaskowa 2 4 47
100/2009 Piaskowa 2 5 35
101/2009 Piaskowa 3 4 61
102/2009 Piaskowa 3 6 49
103/2009 Piaskowa 4 1 54
104/2009 Piaskowa 4 2 87
105/2009 Piaskowa 4 5 45
106/2009 Piaskowa 4 6 65
107/2009 Piaskowa 5 1 87
108/2009 Piaskowa 5 3 38
109/2009 Piaskowa 5 4 60
110/2009 Piaskowa 7 2 54
111/2009 Piaskowa 7 6 50
112/2009 Rejtana 10 2 48
113/2009 Rejtana 10 4 39
114/2009 Rejtana 12 1 61
115/2009 Rejtana 12 2 29
116/2009 Rejtana 12 3 38
117/2009 Rejtana 12 5 29
118/2009 Rejtana 15 3 54
119/2009 Rejtana 15 5 46
120/2009 Rejtana 24 2 54
121/2009 Rejtana 24 2 50
122/2009 Rejtana 24 3 30
123/2009 Rejtana 24 7 38
124/2009 Rejtana 27 1 42
125/2009 Rejtana 27 3 29
126/2009 Rejtana 27 5 44
127/2009 Rejtana 15 4 72
128/2009 £ucka 21 13 99,5
129/2009 Komandorska 13 8 95
130/2009 £ucka 15 7 101
131/2009 £ucka 12 9 128
132/2009 £ucka 12 5 72
133/2009 £ucka 12 11 125
134/2009 £ucka 15 12 74
135/2009 £ucka 12 2 117
136/2009 £ucka 15 21 78
137/2009 £ucka 13 15 100
138/2009 £ucka 13 11 39
139/2009 £ucka 13 2 107
140/2009 £ucka 13 13 112
141/2009 £ucka 13 5 95
142/2009 £ucka 12 3 127
143/2009 £ucka 12 6 77
144/2009 £ucka 15 6 85
145/2009 £ucka 15 8 39
146/2009 £ucka 17 3 40
147/2009 £ucka 17 4 51
148/2009 £ucka 17 7 54
149/2009 £ucka 17 8 110
150/2009 £ucka 17 5 120
151/2009 £ucka 17 12 53
152/2009 £ucka 17 13 49
153/2009 £ucka 17 11 97
154/2009 £ucka 17 6 114
155/2009 £ucka 17 9 89
156/2009 £ucka 17 1 113
157/2009 £ucka 17 14 103
158/2009 £ucka 19 2 65
159/2009 £ucka 19 3 71
160/2009 £ucka 19 5 47
161/2009 £ucka 19 6 38
162/2009 £ucka 19 8 98
163/2009 £ucka 19 9 95
164/2009 £ucka 19 10 47
165/2009 £ucka 19 12 40
166/2009 £ucka 19 13 63
167/2009 £ucka 19 15 114
168/2009 Krakowska 2 1 71
169/2009 Krakowska 2 2 123
170/2009 Krakowska 2 3 113
171/2009 Krakowska 2 4 57
172/2009 Krakowska 2 5 68
173/2009 Krakowska 2 6 49
174/2009 Krakowska 2 7 104
175/2009 Krakowska 2 8 35
176/2009 Krakowska 4 1 129
177/2009 Krakowska 4 2 65
178/2009 Krakowska 4 3 80
179/2009 Krakowska 4 4 90
180/2009 Krakowska 4 5 49
181/2009 Krakowska 4 6 65
182/2009 Krakowska 4 7 40
183/2009 Krakowska 4 8 33
184/2009 Krakowska 6 1 61
185/2009 Krakowska 6 2 67
186/2009 Krakowska 6 3 117
187/2009 Krakowska 6 4 53
188/2009 Krakowska 6 5 82
189/2009 Krakowska 6 6 91
190/2009 Krakowska 6 7 105
191/2009 Krakowska 6 8 109
192/2009 Krakowska 8 1 72
193/2009 Krakowska 8 2 58
194/2009 Krakowska 8 3 46
195/2009 Krakowska 8 4 57
196/2009 Krakowska 8 5 117
197/2009 Krakowska 8 6 40
198/2009 Krakowska 8 7 66
199/2009 Krakowska 8 8 73
200/2009 Krakowska 1 1 122
201/2009 Krakowska 1 2 38
202/2009 Krakowska 1 3 105
203/2009 Krakowska 1 4 38
204/2009 Krakowska 1 5 105
205/2009 Krakowska 1 6 40
206/2009 Krakowska 1 7 67
207/2009 Krakowska 1 8 114
208/2009 Krakowska 3 1 104
209/2009 Krakowska 3 2 41
210/2009 Krakowska 3 3 120
211/2009 Krakowska 3 4 37
212/2009 Krakowska 3 5 81
213/2009 Krakowska 3 6 94
214/2009 Krakowska 3 7 68,5
215/2009 Krakowska 3 8 92
216/2009 Wodna 1 1 45,5
217/2009 Wodna 1 2 64
218/2009 Wodna 1 3 49
219/2009 Wodna 1 4 87
220/2009 Wodna 1 5 104
221/2009 Wodna 1 6 82
222/2009 Wodna 1 7 85
223/2009 Wodna 1 8 89,5
224/2009 Wodna 2 1 69,5
225/2009 Wodna 2 2 42
226/2009 Wodna 2 3 69
227/2009 Wodna 2 4 69,5
228/2009 Wodna 2 5 42
229/2009 Wodna 2 6 69
230/2009 Wodna 2 7 91
231/2009 Wodna 2 8 91
232/2009 Wodna 3 1 69,5
233/2009 Wodna 3 2 42
234/2009 Wodna 3 3 69
235/2009 Wodna 3 4 69,5
236/2009 Wodna 3 5 42
237/2009 Wodna 3 6 69
238/2009 Wodna 3 7 91
239/2009 Wodna 3 8 91
240/2009 Wodna 3 1 69,5
241/2009 Wodna 3 2 42
242/2009 Wodna 3 3 69
243/2009 Wodna 3 4 69,5
244/2009 Wodna 3 5 42
245/2009 Wodna 3 6 69
246/2009 Wodna 3 7 91
247/2009 Wodna 3 8 91
248/2009 Rejtana 6 7 111
249/2009 Rejtana 6 4 70
250/2009 Rejtana 6 1 56
251/2009 Rajska 1 1 103
252/2009 Rajska 1 2 77
253/2009 Rajska 1 3 103
254/2009 Rajska 1 4 77
255/2009 Rajska 1 5 103
256/2009 Rajska 1 6 77
257/2009 Rajska 1 7 103
258/2009 Rajska 1 8 77
259/2009 Rajska 1 9 103
260/2009 Rajska 1 10 77
261/2009 Rajska 3 1 69
262/2009 Rajska 3 2 36
263/2009 Rajska 3 3 89
264/2009 Rajska 3 4 69
265/2009 Rajska 3 5 36
266/2009 Rajska 3 6 89
267/2009 Rajska 3 7 69
268/2009 Rajska 3 8 36
269/2009 Rajska 3 9 89
270/2009 Rajska 3 10 152
271/2009 Rajska 4 1 69
272/2009 Rajska 4 2 36
273/2009 Rajska 4 3 89
274/2009 Rajska 4 4 69
275/2009 Rajska 4 5 36
276/2009 Rajska 4 6 89
277/2009 Rajska 4 7 69
278/2009 Rajska 4 8 36
279/2009 Rajska 4 9 89
280/2009 Rajska 4 10 152
281/2009 Rajska 6 1 69
282/2009 Rajska 6 2 36
283/2009 Rajska 6 3 89
284/2009 Rajska 6 4 69
285/2009 Rajska 6 5 36
286/2009 Rajska 6 6 89
287/2009 Rajska 6 7 69
288/2009 Rajska 6 8 36
289/2009 Rajska 6 9 89
290/2009 Rajska 6 10 152
291/2009 Rajska 8 1 69
292/2009 Rajska 8 2 36
293/2009 Rajska 8 3 89
294/2009 Rajska 8 4 69
295/2009 Rajska 8 5 36
296/2009 Rajska 8 6 89
297/2009 Rajska 8 7 69
298/2009 Rajska 8 8 36
299/2009 Rajska 8 9 89
300/2009 Rajska 8 10 152
