Id_k;Zainteresowania;Wyksztalcenie
14;polityka;œrednie
254;muzyka;wy¿sze
201;jêzyki;wy¿sze
147;gry komputerowe;podstawowe
232;jêzyki;wy¿sze
74;matematyka;wy¿sze
165;turystyka;wy¿sze
56;sport;podstawowe
219;informatyka;wy¿sze
52;turystyka;wy¿sze
128;jêzyki;œrednie
280;matematyka;wy¿sze
126;muzyka;wy¿sze
143;gry komputerowe;œrednie
214;informatyka;podstawowe
130;gry komputerowe;podstawowe
223;turystyka;wy¿sze
207;matematyka;wy¿sze
51;informatyka;œrednie
276;sport;podstawowe
104;matematyka;wy¿sze
279;matematyka;wy¿sze
196;turystyka;œrednie
119;polityka;wy¿sze
22;muzyka;œrednie
16;turystyka;wy¿sze
77;turystyka;wy¿sze
148;turystyka;wy¿sze
101;sport;podstawowe
149;jêzyki;podstawowe
203;turystyka;œrednie
211;sport;podstawowe
97;matematyka;œrednie
114;turystyka;podstawowe
145;jêzyki;œrednie
75;polityka;podstawowe
260;sport;podstawowe
234;jêzyki;podstawowe
250;informatyka;wy¿sze
175;gry komputerowe;podstawowe
277;polityka;wy¿sze
218;polityka;podstawowe
139;turystyka;podstawowe
23;informatyka;wy¿sze
184;turystyka;œrednie
156;turystyka;œrednie
253;informatyka;œrednie
30;informatyka;podstawowe
136;jêzyki;œrednie
182;muzyka;œrednie
9;polityka;podstawowe
173;jêzyki;œrednie
84;muzyka;wy¿sze
19;turystyka;wy¿sze
243;muzyka;wy¿sze
264;polityka;œrednie
103;polityka;podstawowe
161;turystyka;wy¿sze
235;informatyka;wy¿sze
258;sport;podstawowe
85;gry komputerowe;podstawowe
237;turystyka;wy¿sze
57;matematyka;œrednie
47;matematyka;œrednie
127;gry komputerowe;podstawowe
99;jêzyki;œrednie
191;muzyka;podstawowe
206;gry komputerowe;œrednie
110;jêzyki;podstawowe
113;polityka;wy¿sze
53;jêzyki;œrednie
32;jêzyki;wy¿sze
33;turystyka;podstawowe
210;muzyka;wy¿sze
91;sport;wy¿sze
112;muzyka;wy¿sze
5;turystyka;wy¿sze
262;polityka;œrednie
46;informatyka;œrednie
105;jêzyki;œrednie
178;gry komputerowe;œrednie
123;turystyka;wy¿sze
199;turystyka;podstawowe
70;jêzyki;podstawowe
67;muzyka;wy¿sze
153;muzyka;podstawowe
190;jêzyki;wy¿sze
76;matematyka;œrednie
146;muzyka;podstawowe
244;sport;wy¿sze
41;sport;podstawowe
205;informatyka;podstawowe
198;muzyka;œrednie
124;jêzyki;wy¿sze
204;jêzyki;wy¿sze
241;polityka;wy¿sze
88;gry komputerowe;œrednie
132;jêzyki;œrednie
6;muzyka;wy¿sze
212;matematyka;œrednie
272;sport;œrednie
179;gry komputerowe;wy¿sze
64;sport;podstawowe
60;polityka;podstawowe
185;jêzyki;œrednie
202;muzyka;podstawowe
171;muzyka;œrednie
58;polityka;podstawowe
39;muzyka;wy¿sze
188;gry komputerowe;podstawowe
168;jêzyki;œrednie
208;sport;podstawowe
160;jêzyki;podstawowe
170;jêzyki;wy¿sze
100;turystyka;podstawowe
36;informatyka;podstawowe
251;matematyka;wy¿sze
62;matematyka;podstawowe
95;turystyka;podstawowe
108;muzyka;œrednie
15;informatyka;œrednie
166;jêzyki;œrednie
186;gry komputerowe;podstawowe
18;matematyka;podstawowe
40;sport;podstawowe
54;sport;œrednie
152;jêzyki;œrednie
82;muzyka;podstawowe
239;muzyka;œrednie
4;sport;œrednie
224;jêzyki;wy¿sze
150;muzyka;œrednie
86;informatyka;œrednie
255;informatyka;wy¿sze
249;muzyka;œrednie
120;turystyka;œrednie
44;jêzyki;podstawowe
174;muzyka;œrednie
138;gry komputerowe;œrednie
159;gry komputerowe;podstawowe
66;matematyka;wy¿sze
71;turystyka;wy¿sze
17;informatyka;wy¿sze
195;muzyka;œrednie
238;muzyka;œrednie
162;gry komputerowe;œrednie
92;turystyka;œrednie
261;matematyka;œrednie
134;gry komputerowe;œrednie
222;matematyka;œrednie
27;gry komputerowe;wy¿sze
269;gry komputerowe;wy¿sze
35;muzyka;œrednie
213;polityka;wy¿sze
50;muzyka;wy¿sze
61;matematyka;wy¿sze
257;jêzyki;podstawowe
90;muzyka;wy¿sze
233;informatyka;wy¿sze
275;informatyka;œrednie
197;jêzyki;podstawowe
29;informatyka;œrednie
87;polityka;œrednie
81;jêzyki;podstawowe
144;turystyka;podstawowe
1;informatyka;wy¿sze
55;gry komputerowe;œrednie
187;muzyka;œrednie
72;jêzyki;œrednie
193;turystyka;œrednie
252;informatyka;œrednie
122;turystyka;podstawowe
227;informatyka;œrednie
265;matematyka;œrednie
164;polityka;podstawowe
68;sport;œrednie
121;jêzyki;wy¿sze
11;turystyka;podstawowe
240;informatyka;œrednie
37;polityka;podstawowe
226;muzyka;wy¿sze
140;jêzyki;podstawowe
259;gry komputerowe;wy¿sze
157;jêzyki;podstawowe
209;turystyka;œrednie
8;matematyka;wy¿sze
7;sport;podstawowe
45;muzyka;podstawowe
117;gry komputerowe;œrednie
25;polityka;podstawowe
133;gry komputerowe;podstawowe
236;gry komputerowe;podstawowe
137;muzyka;podstawowe
256;turystyka;œrednie
172;gry komputerowe;podstawowe
183;gry komputerowe;podstawowe
268;sport;wy¿sze
217;polityka;podstawowe
200;jêzyki;œrednie
63;jêzyki;podstawowe
194;jêzyki;podstawowe
42;sport;wy¿sze
10;informatyka;wy¿sze
118;muzyka;podstawowe
83;gry komputerowe;wy¿sze
270;matematyka;œrednie
129;gry komputerowe;podstawowe
180;turystyka;podstawowe
229;polityka;wy¿sze
247;polityka;podstawowe
248;jêzyki;œrednie
94;polityka;œrednie
12;polityka;podstawowe
78;matematyka;podstawowe
111;gry komputerowe;podstawowe
115;jêzyki;œrednie
169;turystyka;podstawowe
13;polityka;podstawowe
231;gry komputerowe;œrednie
96;polityka;podstawowe
155;jêzyki;wy¿sze
151;turystyka;podstawowe
225;matematyka;podstawowe
220;turystyka;wy¿sze
189;turystyka;œrednie
131;turystyka;podstawowe
242;turystyka;œrednie
177;jêzyki;podstawowe
98;gry komputerowe;wy¿sze
102;gry komputerowe;podstawowe
141;gry komputerowe;wy¿sze
215;turystyka;œrednie
263;informatyka;œrednie
73;matematyka;podstawowe
107;jêzyki;œrednie
28;jêzyki;wy¿sze
20;matematyka;œrednie
267;jêzyki;podstawowe
79;gry komputerowe;wy¿sze
274;matematyka;wy¿sze
80;muzyka;podstawowe
65;gry komputerowe;podstawowe
154;turystyka;podstawowe
142;muzyka;podstawowe
43;polityka;podstawowe
271;muzyka;podstawowe
59;informatyka;œrednie
109;gry komputerowe;podstawowe
135;turystyka;podstawowe
31;jêzyki;podstawowe
24;informatyka;wy¿sze
230;sport;œrednie
216;polityka;podstawowe
163;muzyka;podstawowe
38;turystyka;podstawowe
167;turystyka;œrednie
34;muzyka;œrednie
106;sport;wy¿sze
116;turystyka;wy¿sze
246;sport;wy¿sze
125;jêzyki;podstawowe
3;matematyka;œrednie
221;informatyka;œrednie
69;sport;œrednie
181;jêzyki;wy¿sze
245;sport;podstawowe
278;polityka;œrednie
192;gry komputerowe;wy¿sze
273;polityka;wy¿sze
176;turystyka;œrednie
2;gry komputerowe;wy¿sze
48;informatyka;podstawowe
266;matematyka;podstawowe
228;informatyka;wy¿sze
21;jêzyki;œrednie
158;muzyka;œrednie
93;muzyka;podstawowe
49;informatyka;wy¿sze
26;sport;œrednie
89;sport;wy¿sze
