Indeks;Id_zatrudn_naucz;Id_typu_praktyki
123100;4;PI
123101;4;PII
123102;4;PI
123103;3;PIII
123104;3;PIII
123105;1;PI
123106;1;PI
123107;3;PIII
123108;1;PII
123109;4;PII
123110;3;PIV
123111;9;PIV
123112;2;PI
123113;2;PI
123114;2;PI
123115;5;PII
123116;5;PII
123117;5;PII
123118;37;PIII
123119;37;PIII
123120;37;PIII
123121;22;PI
123122;22;PI
123123;22;PI
123124;9;PIV
123125;9;PIV
123126;14;PIII
123127;14;PIII
123128;1;PI
123129;6;PII
123130;6;PII
123131;6;PII
123132;6;PI
123133;9;PIV
123134;27;PIII
123135;27;PIII
123136;27;PIII
123137;27;PIII
123138;27;PIII
123139;32;PII
123140;32;PII
123141;32;PII
123142;32;PII
123143;17;PI
123144;17;PI
123145;17;PI
123146;17;PI
123147;17;PI
123148;20;PIV
123149;20;PIV
123150;20;PIV
123151;33;PIII
123152;33;PIII
123153;33;PIII
123154;33;PIII
123155;37;PIV
123156;16;PIII
123157;16;PIV
123158;16;PIII
123159;30;PI
123160;30;PII
123161;30;PI
123162;30;PII
123163;10;PI
123164;10;PII
123165;10;PI
123166;10;PII
123167;7;PI
123168;7;PII
123169;7;PI
123170;19;PIV
123171;19;PIII
123172;19;PIII
123173;19;PIV
123174;21;PIV
123175;21;PIV
123176;21;PIII
123177;21;PIII
123178;21;PIII
123179;21;PIII
123180;14;PIII
123181;14;PIV
123182;14;PIV
123183;14;PIV
123184;20;PIII
123185;23;PI
123186;23;PII
123187;23;PI
123188;24;PII
123189;24;PI
123190;24;PII
123191;12;PI
123192;12;PII
123193;13;PI
123194;13;PI
123195;13;PI
123196;34;PI
123197;34;PI
123198;28;PI
123199;15;PII
